reference_number,short_citation,specific_claim_supported,source_type,audit_result
1,"Vosoughi, Roy, and Aral (2018)","Empirical evidence that false news cascades on Twitter diffused farther, faster, deeper, and more broadly than true news.",Empirical platform study,Claim matched to source scope; wording narrowed where necessary
2,Del Vicario et al. (2016),Polarized communities and selective exposure shaped misinformation diffusion on Facebook.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
3,Shao et al. (2018),Social bots disproportionately amplified low-credibility content.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
4,Grinberg et al. (2019),Fake-news exposure and sharing during the 2016 U.S. election were concentrated among a minority of users.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
5,"Guess, Nagler, and Tucker (2019)",Fake-news dissemination on Facebook was uncommon overall and concentrated among specific users.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
6,Allen et al. (2020),Untrustworthy news represented a limited but measurable share of the broader information ecosystem.,Empirical media-consumption study,Claim matched to source scope; wording narrowed where necessary
7,Cinelli et al. (2021),Echo-chamber dynamics and homophilic clustering appear across multiple social platforms.,Cross-platform empirical study,Claim matched to source scope; wording narrowed where necessary
8,Bessi et al. (2015),Science and conspiracy narratives formed distinct polarized communities.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
9,Zollo et al. (2017),Debunking interaction was conditioned by polarization and community structure.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
10,Shao et al. (2018),Misinformation diffusion networks contain identifiable structural and temporal patterns.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
11,Guess et al. (2020),Exposure to untrustworthy websites in the 2016 election was concentrated rather than uniform.,Empirical web-browsing study,Claim matched to source scope; wording narrowed where necessary
12,Pennycook et al. (2020),Accuracy reminders can improve sharing discernment for COVID-19 misinformation.,Randomized behavioral experiment,Claim matched to source scope; wording narrowed where necessary
13,Pennycook et al. (2021),Shifting attention to accuracy can reduce willingness to share misinformation.,Randomized behavioral experiment,Claim matched to source scope; wording narrowed where necessary
14,Roozenbeek and van der Linden (2019),Gamified inoculation can increase psychological resistance to common misinformation techniques.,Behavioral intervention experiment,Claim matched to source scope; wording narrowed where necessary
15,Maertens et al. (2021),Inoculation effects can persist over time but are behavioral and imperfect.,Longitudinal behavioral experiment,Claim matched to source scope; wording narrowed where necessary
16,"Allen, Watts, and Rand (2024)",Exposure to misinformation and vaccine-skeptical content can have measurable downstream behavioral consequences.,Empirical/experimental platform research,Claim matched to source scope; wording narrowed where necessary
17,"Bakshy, Messing, and Adamic (2015)",Individual choice and algorithmic ranking both shape exposure to ideologically diverse content.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
18,Centola (2010),Network structure can causally alter behavioral diffusion in an online experiment.,Randomized network experiment,Claim matched to source scope; wording narrowed where necessary
19,Aral and Walker (2012),Influence and susceptibility differ across individuals in social networks.,Randomized field experiment,Claim matched to source scope; wording narrowed where necessary
20,Goel et al. (2016),Online cascades vary in structural virality rather than only total size.,Large-scale empirical diffusion study,Claim matched to source scope; wording narrowed where necessary
21,Weng et al. (2012),Limited attention and competition among memes affect information diffusion.,Computational/empirical diffusion study,Claim matched to source scope; wording narrowed where necessary
22,Newman (2003),"Foundational definitions and relationships among degree distribution, clustering, paths, communities, and network function.",Network-science review,Claim matched to source scope; wording narrowed where necessary
23,Erdos and Renyi (1959),Definition and properties of the random-graph model used for the ER condition.,Foundational graph-model paper,Claim matched to source scope; wording narrowed where necessary
24,Watts and Strogatz (1998),Definition of the small-world rewiring model and its clustering/path-length properties.,Foundational graph-model paper,Claim matched to source scope; wording narrowed where necessary
25,Barabasi and Albert (1999),"Preferential attachment produces hub-concentrated, heavy-tailed degree structure.",Foundational graph-model paper,Claim matched to source scope; wording narrowed where necessary
26,Pastor-Satorras and Vespignani (2002),Targeted immunization can outperform uniform immunization in heterogeneous networks.,Network-intervention study,Claim matched to source scope; wording narrowed where necessary
27,"Cohen, Havlin, and ben-Avraham (2003)",Acquaintance-based immunization offers a local-information alternative to global targeting.,Network-intervention study,Claim matched to source scope; wording narrowed where necessary
28,"Albert, Jeong, and Barabasi (2000)",Scale-free networks can be robust to random failure yet vulnerable to targeted attack.,Network-robustness study,Claim matched to source scope; wording narrowed where necessary
29,"Kempe, Kleinberg, and Tardos (2003)",Influence maximization formalizes selecting a limited node set under cascade models; simple centrality heuristics need not be optimal.,Algorithmic network study,Claim matched to source scope; wording narrowed where necessary
30,"Budak, Agrawal, and El Abbadi (2011)",Misinformation limitation can be formulated as competitive influence optimization.,Algorithmic misinformation study,Claim matched to source scope; wording narrowed where necessary
31,Freeman (1977),Definition and interpretation of shortest-path betweenness centrality.,Foundational centrality paper,Claim matched to source scope; wording narrowed where necessary
32,Brin and Page (1998),Definition of PageRank as a recursive link-based ranking method.,Foundational ranking paper,Claim matched to source scope; wording narrowed where necessary
33,Bonacich (1987),Definition and interpretation of eigenvector-type power centrality.,Foundational centrality paper,Claim matched to source scope; wording narrowed where necessary
34,Kitsak et al. (2010),k-core position can identify influential spreaders beyond degree alone.,Network-influence study,Claim matched to source scope; wording narrowed where necessary
35,Morone and Makse (2015),Collective influence/optimal percolation targets nodes to dismantle network connectivity.,Network-dismantling study,Claim matched to source scope; wording narrowed where necessary
36,Zhang et al. (2016),Selecting a set of spreaders requires accounting for redundancy among individually central nodes.,Network-influence study,Claim matched to source scope; wording narrowed where necessary
37,Brandes (2001),"Exact betweenness can be computed in O(VE) time for unweighted graphs, motivating scalability discussion and approximation.",Algorithm paper,Claim matched to source scope; wording narrowed where necessary
38,Bian et al. (2020),Graph neural networks can exploit propagation structure for rumor detection; detection is distinct from structural immunization.,Machine-learning study,Claim matched to source scope; wording narrowed where necessary
39,Shu et al. (2020),"FakeNewsNet provides content, social-context, and temporal data for empirical misinformation research.",Dataset paper,Claim matched to source scope; wording narrowed where necessary
40,Pastor-Satorras et al. (2015),SIR-like processes on complex networks and threshold behavior provide the diffusion-model foundation.,Network-epidemics review,Claim matched to source scope; wording narrowed where necessary
41,"Hagberg, Schult, and Swart (2008)",NetworkX is the software framework used for graph generation and analysis.,Software methods paper,Claim matched to source scope; wording narrowed where necessary
42,McKinney (2010),pandas is the tabular-data framework used in the analysis pipeline.,Software methods paper,Claim matched to source scope; wording narrowed where necessary
43,Seabold and Perktold (2010),statsmodels supports the inferential models used in the analysis.,Software methods paper,Claim matched to source scope; wording narrowed where necessary
