topology,trial,family,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,13,seed_count,0.15,0.05,1,7.0,11.0,1.0,1.0,715.0,0.989,18944.0,0.997,6984.0,5987.0,988.0,133.0,0.0
ER,13,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,700.0,0.994,19354.0,0.994,7319.0,6325.0,989.0,148.0,0.0
ER,13,seed_count,0.15,0.05,10,4.0,7.0,1.0,1.0,713.0,0.991,19010.0,0.989,7130.0,6141.0,981.0,122.0,0.0
ER,8,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.006,50.0,0.035,262.0,227.0,1.0,23.0,0.0
ER,8,beta_gamma,0.005,0.1,5,,,0.0,0.0,6.0,0.008,50.0,0.048,322.0,274.0,3.0,18.0,0.0
ER,8,beta_gamma,0.01,0.05,5,,,0.0,0.0,6.0,0.011,157.0,0.052,791.0,739.0,6.0,64.0,0.0
ER,8,beta_gamma,0.01,0.1,5,,,0.0,0.0,7.0,0.012,162.0,0.065,867.0,802.0,7.0,40.0,0.0
ER,8,beta_gamma,0.02,0.05,5,38.0,110.0,1.0,1.0,131.0,0.685,13982.0,0.982,34140.0,33158.0,680.0,285.0,0.0
ER,8,beta_gamma,0.02,0.1,5,91.0,,1.0,0.0,26.0,0.242,2480.0,0.754,10214.0,9460.0,237.0,210.0,0.0
ER,8,beta_gamma,0.05,0.05,5,17.0,30.0,1.0,1.0,464.0,0.931,19111.0,0.992,19142.0,18150.0,926.0,221.0,0.0
ER,8,beta_gamma,0.05,0.1,5,15.0,32.0,1.0,1.0,237.0,0.804,8138.0,0.985,16241.0,15256.0,799.0,103.0,0.0
ER,8,beta_gamma,0.15,0.05,5,5.0,9.0,1.0,1.0,727.0,0.992,18508.0,0.993,7232.0,6239.0,987.0,109.0,0.0
ER,8,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,567.0,0.979,9597.0,0.993,6870.0,5877.0,974.0,77.0,0.0
ER,8,seed_count,0.15,0.05,1,7.0,11.0,1.0,1.0,717.0,0.988,20695.0,0.997,7621.0,6624.0,987.0,164.0,0.0
ER,8,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,743.0,0.993,19329.0,0.993,7481.0,6488.0,988.0,184.0,0.0
ER,8,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,731.0,0.992,19284.0,0.988,6936.0,5948.0,982.0,132.0,0.0
ER,12,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.01,216.0,0.072,1327.0,1255.0,5.0,66.0,0.0
ER,12,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.006,85.0,0.029,397.0,368.0,1.0,41.0,0.0
ER,12,beta_gamma,0.01,0.05,5,,,0.0,0.0,9.0,0.047,905.0,0.241,4147.0,3906.0,42.0,161.0,0.0
ER,12,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.009,86.0,0.046,430.0,384.0,4.0,36.0,0.0
ER,12,beta_gamma,0.02,0.05,5,41.0,86.0,1.0,1.0,199.0,0.742,15184.0,0.983,36273.0,35290.0,737.0,250.0,0.0
ER,12,beta_gamma,0.02,0.1,5,,,0.0,0.0,13.0,0.089,841.0,0.416,4045.0,3629.0,84.0,115.0,0.0
ER,12,beta_gamma,0.05,0.05,5,21.0,33.0,1.0,1.0,448.0,0.946,19001.0,0.991,19667.0,18676.0,941.0,237.0,0.0
ER,12,beta_gamma,0.05,0.1,5,24.0,40.0,1.0,1.0,253.0,0.83,8366.0,0.988,16164.0,15176.0,825.0,113.0,0.0
ER,12,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,695.0,0.988,18944.0,0.991,7414.0,6423.0,983.0,132.0,0.0
ER,12,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,598.0,0.978,9726.0,0.99,6963.0,5973.0,973.0,73.0,0.0
ER,12,seed_count,0.15,0.05,1,10.0,14.0,1.0,1.0,721.0,0.986,20166.0,0.995,7229.0,6234.0,985.0,177.0,0.0
ER,12,seed_count,0.15,0.05,5,5.0,8.0,1.0,1.0,748.0,0.992,20561.0,0.991,7179.0,6188.0,987.0,152.0,0.0
ER,12,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,736.0,0.989,19468.0,0.987,7174.0,6187.0,979.0,150.0,0.0
ER,14,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.007,108.0,0.033,503.0,470.0,2.0,37.0,0.0
ER,14,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,51.0,0.037,333.0,296.0,0.0,39.0,0.0
ER,14,beta_gamma,0.01,0.05,5,,,0.0,0.0,8.0,0.02,333.0,0.104,1428.0,1324.0,15.0,75.0,0.0
ER,14,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.007,38.0,0.043,240.0,197.0,2.0,13.0,0.0
ER,14,beta_gamma,0.02,0.05,5,42.0,96.0,1.0,1.0,185.0,0.728,15259.0,0.983,36476.0,35493.0,723.0,239.0,0.0
ER,14,beta_gamma,0.02,0.1,5,71.0,,1.0,0.0,22.0,0.187,1954.0,0.686,9071.0,8385.0,182.0,156.0,0.0
ER,14,beta_gamma,0.05,0.05,5,14.0,25.0,1.0,1.0,488.0,0.951,18994.0,0.993,19512.0,18519.0,946.0,154.0,0.0
ER,14,beta_gamma,0.05,0.1,5,13.0,30.0,1.0,1.0,219.0,0.833,7891.0,0.99,16633.0,15643.0,828.0,95.0,0.0
ER,14,beta_gamma,0.15,0.05,5,5.0,10.0,1.0,1.0,723.0,0.99,18723.0,0.993,7795.0,6802.0,985.0,133.0,0.0
ER,14,beta_gamma,0.15,0.1,5,8.0,11.0,1.0,1.0,603.0,0.988,9720.0,0.994,7436.0,6442.0,983.0,76.0,0.0
ER,14,seed_count,0.15,0.05,1,9.0,13.0,1.0,1.0,733.0,0.991,19763.0,0.998,7654.0,6656.0,990.0,149.0,0.0
ER,14,seed_count,0.15,0.05,5,5.0,9.0,1.0,1.0,744.0,0.99,19889.0,0.993,7502.0,6509.0,985.0,129.0,0.0
ER,14,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,735.0,0.994,20713.0,0.989,7393.0,6404.0,984.0,206.0,0.0
ER,15,beta_gamma,0.005,0.05,5,,,0.0,0.0,6.0,0.013,221.0,0.084,1206.0,1122.0,8.0,81.0,0.0
ER,15,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,53.0,0.032,332.0,300.0,0.0,17.0,0.0
ER,15,beta_gamma,0.01,0.05,5,,,0.0,0.0,18.0,0.066,1282.0,0.322,6264.0,5942.0,61.0,147.0,0.0
ER,15,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.013,115.0,0.075,611.0,536.0,8.0,37.0,0.0
ER,15,beta_gamma,0.02,0.05,5,38.0,97.0,1.0,1.0,143.0,0.69,13715.0,0.982,34882.0,33900.0,685.0,237.0,0.0
ER,15,beta_gamma,0.02,0.1,5,,,0.0,0.0,5.0,0.006,25.0,0.033,152.0,119.0,1.0,11.0,0.0
ER,15,beta_gamma,0.05,0.05,5,15.0,29.0,1.0,1.0,422.0,0.948,19673.0,0.992,19738.0,18746.0,943.0,148.0,0.0
ER,15,beta_gamma,0.05,0.1,5,19.0,37.0,1.0,1.0,233.0,0.821,8304.0,0.987,16553.0,15566.0,816.0,115.0,0.0
ER,15,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,692.0,0.987,19107.0,0.992,7626.0,6634.0,982.0,168.0,0.0
ER,15,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,599.0,0.981,9868.0,0.992,7240.0,6248.0,976.0,90.0,0.0
ER,15,seed_count,0.15,0.05,1,9.0,13.0,1.0,1.0,705.0,0.993,20043.0,0.996,7283.0,6287.0,992.0,159.0,0.0
ER,15,seed_count,0.15,0.05,5,5.0,9.0,1.0,1.0,735.0,0.992,19796.0,0.992,7226.0,6234.0,987.0,159.0,0.0
ER,15,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,743.0,0.991,19754.0,0.987,7193.0,6206.0,981.0,190.0,0.0
ER,16,beta_gamma,0.005,0.05,5,,,0.0,0.0,7.0,0.015,288.0,0.078,1396.0,1318.0,10.0,60.0,0.0
ER,16,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,49.0,0.022,143.0,121.0,0.0,23.0,0.0
ER,16,beta_gamma,0.01,0.05,5,144.0,,1.0,0.0,22.0,0.137,2824.0,0.57,13935.0,13365.0,132.0,255.0,0.0
ER,16,beta_gamma,0.01,0.1,5,,,0.0,0.0,9.0,0.014,98.0,0.103,772.0,669.0,9.0,33.0,0.0
ER,16,beta_gamma,0.02,0.05,5,60.0,128.0,1.0,1.0,134.0,0.69,14486.0,0.98,36006.0,35026.0,685.0,298.0,0.0
ER,16,beta_gamma,0.02,0.1,5,,,0.0,0.0,15.0,0.033,296.0,0.172,1551.0,1379.0,28.0,42.0,0.0
ER,16,beta_gamma,0.05,0.05,5,16.0,30.0,1.0,1.0,430.0,0.945,18509.0,0.993,18815.0,17822.0,940.0,197.0,0.0
ER,16,beta_gamma,0.05,0.1,5,14.0,31.0,1.0,1.0,240.0,0.805,8217.0,0.99,16400.0,15410.0,800.0,125.0,0.0
ER,16,beta_gamma,0.15,0.05,5,6.0,9.0,1.0,1.0,714.0,0.986,19888.0,0.992,7535.0,6543.0,981.0,160.0,0.0
ER,16,beta_gamma,0.15,0.1,5,6.0,11.0,1.0,1.0,596.0,0.969,9781.0,0.993,7105.0,6112.0,964.0,82.0,0.0
ER,16,seed_count,0.15,0.05,1,9.0,13.0,1.0,1.0,712.0,0.989,18988.0,0.997,7010.0,6013.0,988.0,137.0,0.0
ER,16,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,717.0,0.983,19891.0,0.992,7493.0,6501.0,978.0,152.0,0.0
ER,16,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,711.0,0.988,18941.0,0.988,7429.0,6441.0,978.0,123.0,0.0
ER,18,beta_gamma,0.005,0.05,5,,,0.0,0.0,6.0,0.008,77.0,0.058,549.0,491.0,3.0,36.0,0.0
ER,18,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,29.0,0.012,91.0,79.0,0.0,17.0,0.0
ER,18,beta_gamma,0.01,0.05,5,,,0.0,0.0,6.0,0.017,293.0,0.082,1332.0,1250.0,12.0,75.0,0.0
ER,18,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.009,75.0,0.048,322.0,274.0,4.0,31.0,0.0
ER,18,beta_gamma,0.02,0.05,5,52.0,107.0,1.0,1.0,142.0,0.667,12961.0,0.973,32669.0,31696.0,662.0,323.0,0.0
ER,18,beta_gamma,0.02,0.1,5,,,0.0,0.0,13.0,0.036,460.0,0.172,1792.0,1620.0,31.0,62.0,0.0
ER,18,beta_gamma,0.05,0.05,5,18.0,31.0,1.0,1.0,453.0,0.943,19417.0,0.994,19612.0,18618.0,938.0,175.0,0.0
ER,18,beta_gamma,0.05,0.1,5,17.0,34.0,1.0,1.0,233.0,0.81,7993.0,0.988,15677.0,14689.0,805.0,94.0,0.0
ER,18,beta_gamma,0.15,0.05,5,7.0,11.0,1.0,1.0,701.0,0.996,19638.0,0.994,7602.0,6608.0,991.0,137.0,0.0
ER,18,beta_gamma,0.15,0.1,5,7.0,12.0,1.0,1.0,585.0,0.977,9942.0,0.994,7138.0,6144.0,972.0,99.0,0.0
ER,18,seed_count,0.15,0.05,1,10.0,15.0,1.0,1.0,704.0,0.985,19684.0,0.998,7348.0,6350.0,984.0,161.0,0.0
ER,18,seed_count,0.15,0.05,5,5.0,10.0,1.0,1.0,723.0,0.986,20193.0,0.994,7451.0,6457.0,981.0,145.0,0.0
ER,18,seed_count,0.15,0.05,10,5.0,8.0,1.0,1.0,713.0,0.992,20282.0,0.989,7274.0,6285.0,982.0,182.0,0.0
ER,17,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.006,61.0,0.039,360.0,321.0,1.0,23.0,0.0
ER,17,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.006,71.0,0.03,388.0,358.0,1.0,30.0,0.0
ER,17,beta_gamma,0.01,0.05,5,,,0.0,0.0,5.0,0.007,70.0,0.045,412.0,367.0,2.0,40.0,0.0
ER,17,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.007,60.0,0.034,221.0,187.0,2.0,16.0,0.0
ER,17,beta_gamma,0.02,0.05,5,50.0,110.0,1.0,1.0,134.0,0.705,13649.0,0.985,34477.0,33492.0,700.0,298.0,0.0
ER,17,beta_gamma,0.02,0.1,5,,,0.0,0.0,12.0,0.051,434.0,0.26,2275.0,2015.0,46.0,105.0,0.0
ER,17,beta_gamma,0.05,0.05,5,14.0,27.0,1.0,1.0,466.0,0.941,19023.0,0.994,19127.0,18133.0,936.0,191.0,0.0
ER,17,beta_gamma,0.05,0.1,5,15.0,33.0,1.0,1.0,201.0,0.787,7827.0,0.987,16581.0,15594.0,782.0,111.0,0.0
ER,17,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,740.0,0.994,20165.0,0.995,7441.0,6446.0,989.0,147.0,0.0
ER,17,beta_gamma,0.15,0.1,5,7.0,12.0,1.0,1.0,558.0,0.978,9627.0,0.995,7335.0,6340.0,973.0,82.0,0.0
ER,17,seed_count,0.15,0.05,1,11.0,15.0,1.0,1.0,718.0,0.992,20091.0,0.999,7509.0,6510.0,991.0,140.0,0.0
ER,17,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,736.0,0.994,20536.0,0.995,7432.0,6437.0,989.0,158.0,0.0
ER,17,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,716.0,0.996,20186.0,0.99,7436.0,6446.0,986.0,184.0,0.0
WS,1,beta_gamma,0.005,0.05,5,,,0.0,0.0,8.0,0.013,210.0,0.048,958.0,910.0,8.0,43.0,0.0
WS,1,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.006,45.0,0.032,225.0,193.0,1.0,18.0,0.0
WS,1,beta_gamma,0.01,0.05,5,,,0.0,0.0,5.0,0.007,94.0,0.032,505.0,473.0,2.0,42.0,0.0
WS,1,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.009,70.0,0.04,353.0,313.0,4.0,31.0,0.0
WS,1,beta_gamma,0.02,0.05,5,94.0,,1.0,0.0,36.0,0.267,5829.0,0.496,13720.0,13224.0,262.0,346.0,0.0
WS,1,beta_gamma,0.02,0.1,5,,,0.0,0.0,6.0,0.009,67.0,0.037,341.0,304.0,4.0,20.0,0.0
WS,1,beta_gamma,0.05,0.05,5,22.0,51.0,1.0,1.0,293.0,0.955,18432.0,0.987,19795.0,18808.0,950.0,228.0,0.0
WS,1,beta_gamma,0.05,0.1,5,65.0,178.0,1.0,1.0,54.0,0.587,6029.0,0.838,12400.0,11562.0,582.0,299.0,0.0
WS,1,beta_gamma,0.15,0.05,5,7.0,14.0,1.0,1.0,662.0,1.0,20163.0,0.995,7635.0,6640.0,995.0,166.0,0.0
WS,1,beta_gamma,0.15,0.1,5,9.0,17.0,1.0,1.0,416.0,0.98,9525.0,0.993,7456.0,6463.0,975.0,77.0,0.0
WS,1,seed_count,0.15,0.05,1,18.0,26.0,1.0,1.0,673.0,1.0,21986.0,0.999,7392.0,6393.0,999.0,183.0,0.0
WS,1,seed_count,0.15,0.05,5,9.0,16.0,1.0,1.0,647.0,1.0,20010.0,0.995,7376.0,6381.0,995.0,214.0,0.0
WS,1,seed_count,0.15,0.05,10,5.0,12.0,1.0,1.0,660.0,1.0,20066.0,0.99,7128.0,6138.0,990.0,139.0,0.0
WS,2,beta_gamma,0.005,0.05,5,,,0.0,0.0,6.0,0.008,103.0,0.043,588.0,545.0,3.0,42.0,0.0
WS,2,beta_gamma,0.005,0.1,5,,,0.0,0.0,8.0,0.009,78.0,0.04,399.0,359.0,4.0,16.0,0.0
WS,2,beta_gamma,0.01,0.05,5,,,0.0,0.0,7.0,0.013,217.0,0.057,1042.0,985.0,8.0,46.0,0.0
WS,2,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.01,139.0,0.042,755.0,713.0,5.0,44.0,0.0
WS,2,beta_gamma,0.02,0.05,5,,,0.0,0.0,29.0,0.08,1518.0,0.173,4057.0,3884.0,75.0,151.0,0.0
WS,2,beta_gamma,0.02,0.1,5,,,0.0,0.0,8.0,0.032,380.0,0.088,1317.0,1229.0,27.0,106.0,0.0
WS,2,beta_gamma,0.05,0.05,5,20.0,51.0,1.0,1.0,249.0,0.964,18870.0,0.994,20039.0,19045.0,959.0,250.0,0.0
WS,2,beta_gamma,0.05,0.1,5,,,0.0,0.0,6.0,0.02,192.0,0.053,508.0,455.0,15.0,74.0,0.0
WS,2,beta_gamma,0.15,0.05,5,8.0,17.0,1.0,1.0,591.0,1.0,18286.0,0.995,7561.0,6566.0,995.0,147.0,0.0
WS,2,beta_gamma,0.15,0.1,5,10.0,18.0,1.0,1.0,420.0,0.995,10049.0,0.995,7363.0,6368.0,990.0,99.0,0.0
WS,2,seed_count,0.15,0.05,1,15.0,25.0,1.0,1.0,624.0,1.0,19708.0,0.999,7405.0,6406.0,999.0,158.0,0.0
WS,2,seed_count,0.15,0.05,5,7.0,14.0,1.0,1.0,613.0,1.0,19878.0,0.995,7152.0,6157.0,995.0,198.0,0.0
WS,2,seed_count,0.15,0.05,10,6.0,13.0,1.0,1.0,612.0,1.0,19111.0,0.99,7406.0,6416.0,990.0,144.0,0.0
ER,19,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.006,75.0,0.035,400.0,365.0,1.0,30.0,0.0
ER,19,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,45.0,0.032,288.0,256.0,0.0,12.0,0.0
ER,19,beta_gamma,0.01,0.05,5,,,0.0,0.0,10.0,0.055,1186.0,0.288,6283.0,5995.0,50.0,235.0,0.0
ER,19,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.006,35.0,0.024,139.0,115.0,1.0,21.0,0.0
ER,19,beta_gamma,0.02,0.05,5,26.0,67.0,1.0,1.0,206.0,0.73,15268.0,0.983,34502.0,33519.0,725.0,255.0,0.0
ER,19,beta_gamma,0.02,0.1,5,,,0.0,0.0,8.0,0.017,138.0,0.096,777.0,681.0,12.0,29.0,0.0
ER,19,beta_gamma,0.05,0.05,5,14.0,26.0,1.0,1.0,429.0,0.934,18152.0,0.992,19274.0,18282.0,929.0,187.0,0.0
ER,19,beta_gamma,0.05,0.1,5,16.0,31.0,1.0,1.0,250.0,0.829,8331.0,0.991,16732.0,15741.0,824.0,97.0,0.0
ER,19,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,741.0,0.991,19822.0,0.994,7548.0,6554.0,986.0,145.0,0.0
ER,19,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,576.0,0.979,10242.0,0.994,7522.0,6528.0,974.0,80.0,0.0
ER,19,seed_count,0.15,0.05,1,10.0,14.0,1.0,1.0,724.0,0.996,19932.0,0.998,7198.0,6200.0,995.0,147.0,0.0
ER,19,seed_count,0.15,0.05,5,7.0,11.0,1.0,1.0,716.0,0.985,18817.0,0.994,7607.0,6613.0,980.0,121.0,0.0
ER,19,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,751.0,0.992,19331.0,0.989,7147.0,6158.0,982.0,150.0,0.0
WS,0,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.006,88.0,0.032,519.0,487.0,1.0,48.0,0.0
WS,0,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.007,76.0,0.042,480.0,438.0,2.0,34.0,0.0
WS,0,beta_gamma,0.01,0.05,5,,,0.0,0.0,16.0,0.031,614.0,0.07,1818.0,1748.0,26.0,99.0,0.0
WS,0,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.009,145.0,0.035,734.0,699.0,4.0,68.0,0.0
WS,0,beta_gamma,0.02,0.05,5,,,0.0,0.0,18.0,0.06,1202.0,0.157,3604.0,3447.0,55.0,251.0,0.0
WS,0,beta_gamma,0.02,0.1,5,,,0.0,0.0,8.0,0.014,188.0,0.045,764.0,719.0,9.0,57.0,0.0
WS,0,beta_gamma,0.05,0.05,5,43.0,80.0,1.0,1.0,254.0,0.935,17948.0,0.983,19672.0,18689.0,930.0,230.0,0.0
WS,0,beta_gamma,0.05,0.1,5,42.0,94.0,1.0,1.0,88.0,0.68,6792.0,0.927,13850.0,12923.0,675.0,204.0,0.0
WS,0,beta_gamma,0.15,0.05,5,8.0,16.0,1.0,1.0,626.0,1.0,20023.0,0.995,7539.0,6544.0,995.0,160.0,0.0
WS,0,beta_gamma,0.15,0.1,5,8.0,16.0,1.0,1.0,456.0,0.997,10016.0,0.995,7165.0,6170.0,992.0,78.0,0.0
WS,0,seed_count,0.15,0.05,1,11.0,19.0,1.0,1.0,602.0,1.0,20068.0,0.999,7213.0,6214.0,999.0,144.0,0.0
WS,0,seed_count,0.15,0.05,5,7.0,15.0,1.0,1.0,671.0,1.0,20820.0,0.995,7056.0,6061.0,995.0,138.0,0.0
WS,0,seed_count,0.15,0.05,10,5.0,12.0,1.0,1.0,625.0,1.0,19220.0,0.99,7422.0,6432.0,990.0,157.0,0.0
WS,3,beta_gamma,0.005,0.05,5,,,0.0,0.0,7.0,0.012,325.0,0.043,1036.0,993.0,7.0,93.0,0.0
WS,3,beta_gamma,0.005,0.1,5,,,0.0,0.0,6.0,0.007,54.0,0.034,293.0,259.0,2.0,16.0,0.0
WS,3,beta_gamma,0.01,0.05,5,,,0.0,0.0,15.0,0.035,786.0,0.097,2604.0,2507.0,30.0,113.0,0.0
WS,3,beta_gamma,0.01,0.1,5,,,0.0,0.0,6.0,0.01,187.0,0.038,726.0,688.0,5.0,62.0,0.0
WS,3,beta_gamma,0.02,0.05,5,85.0,,1.0,0.0,37.0,0.244,4777.0,0.476,11327.0,10851.0,239.0,288.0,0.0
WS,3,beta_gamma,0.02,0.1,5,,,0.0,0.0,5.0,0.009,51.0,0.037,253.0,216.0,4.0,23.0,0.0
WS,3,beta_gamma,0.05,0.05,5,28.0,55.0,1.0,1.0,296.0,0.975,19157.0,0.995,19844.0,18849.0,970.0,207.0,0.0
WS,3,beta_gamma,0.05,0.1,5,35.0,,1.0,0.0,42.0,0.313,2983.0,0.564,6278.0,5714.0,308.0,142.0,0.0
WS,3,beta_gamma,0.15,0.05,5,9.0,17.0,1.0,1.0,641.0,1.0,19639.0,0.995,7354.0,6359.0,995.0,151.0,0.0
WS,3,beta_gamma,0.15,0.1,5,13.0,22.0,1.0,1.0,414.0,0.997,9284.0,0.995,7356.0,6361.0,992.0,86.0,0.0
WS,3,seed_count,0.15,0.05,1,17.0,26.0,1.0,1.0,628.0,0.999,20826.0,0.999,7568.0,6569.0,998.0,206.0,0.0
